,Title,Smiles
46,AT-687/SK17905,CCOC(=O)C1CCN(C2=C(C#N)C=N/C3=C\C=C(Cl)/C=C\23)CC1
47,AT-687/NB06807,CS(=O)(=O)N1CCN(/C2=C(S(=O)(=O)C3=CC(F)=CC(F)=C3)/C=N\C3=CC=C(F)C=C32)CC1
48,AN-153/NB22781,CCOC1=CC=C2N=C(NC3=NC(C4=CN=C(N5CCCC5)N=C4C)=CC(=O)N3)N=C(C)C2=C1
49,AT-687/PE13104,O=S(=O)(C1=CC=C(F)C(F)=C1)C1=C(\C2=CC=C(Cl)C=C2)C2=C(\N=C/1)C(F)=CC=C2
50,AT-687/PE25870,O=C1NC(N2CCN(C3=CC=CC=C3F)CC2)=NC2=C1SC=C2C1=CC=C(F)C=C1
51,AN-153/J102308,COC1=CC=CC(C2=CC=NC3=C2C(=O)NC(N2CCOCC2)=N3)=C1
52,AT-687/PE35213,CC1=C/C2=C(N3CCC(C(=O)O)CC3)C(C#N)=CN=C2/C=C\1
53,AT-687/PE27527,N#CC1=CN=C2/C=C\C(Cl)=C/C2=C1N1CCC(C(=O)O)CC1
54,AN-153/NB22717,COC1=CC2=C(C=C1)N=C(NC1=NC(C3=CN=C(N4CCOCC4)N=C3C)=CC(=O)N1)N=C2C
55,AT-687/PE25864,CC1=CC=C(Cl)C=C1N1CCN(C2=NC3=C(SC=C3C3=CC(F)=CC=C3)C(=O)N2)CC1
56,AT-225/NB31025,NC1=C2\C(=O)OC3=C(C=CC=C3)\C2=N\C(C2=CC3=C(C=CC=C3)OC2=O)=N\1
57,AN-153/J103477,O=C1NC(N2CCOCC2)=NC2=C1C(C1=CC([N+](=O)[O-])=CC=C1)=CC=N2
58,AN-153/NB22740,CCOC1=CC2=C(C=C1)N=C(NC1=NC(C3=CN=C(N4CCCCC4)N=C3C)=CC(=O)N1)N=C2C
59,AN-153/J110173,COC1=CC(C2=CC=NC3=C2C(=O)NC(N2CCCC2)=N3)=CC=C1
60,AT-687/NB06799,COCC1CCN(/C2=C(S(=O)(=O)C3=CC(F)=CC(F)=C3)/C=N\C3=CC=C(F)C=C32)CC1
61,AT-225/NB47216,C1=CC=C2/C=C(C3=NC4=CC=CC=C4C(N4CCOCC4)=C3)\C=C/C2=C1
62,AT-225/JK06935,C1=CC=C2/C=C(C3=CC(N4CCOCC4)=C4C=CC=CC4=N3)\C=C/C2=C1
63,AT-225/JK07151,C1=CC=C2/C=C(C3=CC(N4CCOCC4)=C4C=CC=CC4=N3)\C=C/C2=C1
64,AT-225/NB46582,C1=CC=C2C(=C1)N=C(C1=C\C=C3\C=CC=C\C3=C\1)C=C2N1CCOCC1
65,AT-225/NB48342,C1=CC=C2C(=C1)N=C(C1=C\C=C3\C=CC=C\C3=C\1)C=C2N1CCOCC1
66,AT-138/QI01032,COCCOC1=CC=C(/C=N\NC2=NC(N3CCCC3)=C(F)C=N2)C=C1
