,Title,Smiles
56,L331-0256,O=C(c1nc(N2CCOCC2)c2oc(cccc3)c3c2n1)Nc(ccc(F)c1)c1Cl
57,D420-1292,Cc1nc(-c2cc3cccc(C)c3nc2N(CC2)CCN2c(cccc2)c2F)no1
58,D420-0998,Cc(cccc1cc2-c3noc(-c4ccccc4)n3)c1nc2N1CCOCC1
59,8020-7826,Nc(c(C#N)c(N1CCOCC1)nc1-c2cccc([N+]([O-])=O)c2)c1C#N
60,C350-0857,Fc(cccc12)c1ncc1c2n(-c2ccccc2)nc1-c1cccc(Br)c1
61,K669-0177,CC(CC1)CCN1c1nc(-c(cccc2)c2F)nc2ccccc12
62,G516-0035,COc(cc1)ccc1-c1nc2ccccc2c(N(CC2)CCN2c(cccc2)c2F)n1
63,C350-0426,Cc(cc1)c(C)cc1-n(c1c(cc(cc2F)F)c2ncc11)nc1-c(cc1)ccc1F
64,D287-0168,CCCOc(ccc(-c1nc(SC)nc(N2CCC(C)CC2)c1C#N)c1)c1OC
65,L483-0669,Cc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(Nc(cc1)cc(C#N)c1F)=O
66,IB02-2513,CCOc(cc(c1c2)nc(-c(cc3)cc(OC)c3OC)nc1N(CC1)CCN1c1cccc(C(F)(F)F)c1)c2OC
67,G516-0073,COc(cc1)ccc1-c1nc2ccccc2c(N(CC2)CCN2c(cc2)ccc2F)n1
68,4237-0557,Clc(cc1)ccc1-c1nc(N2CCCCC2)c2oc(cccc3)c3c2n1
69,8020-7829,CCN(CC)c(nc(-c(cc1)cc(Cl)c1Cl)c(C#N)c1N)c1C#N
70,F360-0969,CCOc(ccc1ncc2C#N)cc1c2N1CCC(C)CC1
71,4358-4653,CC(C1)OC(C)CN1c1nc(-c(cc2)ccc2[N+]([O-])=O)nc2ccccc12
72,C350-0099,Fc(cc(c1ncc23)F)cc1c3n(-c1ccccc1)nc2-c1ccccc1
73,L483-0445,CCOc(cc1)ccc1NC(C(CC1)CCN1c1c(cc(cc2)F)c2ncc1C#N)=O
74,L483-0472,N#Cc1cnc(ccc(F)c2)c2c1N(CC1)CCC1C(Nc(cc1)ccc1OC(F)(F)F)=O
75,L483-0759,CCOc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(Nc1cc(F)cc(F)c1)=O
76,L483-0684,CCOc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(NCc(cc1)ccc1F)=O
77,IB05-7741,NC(C(CC1)CCN1c1nc2nccc(-c3cc4ccccc4cc3)c2c(O)n1)=O
78,L483-0693,CCOc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(NCc(cccc1)c1F)=O
79,8014-2314,COc1nc(-c2c(CC3)c4c(cccc5)c5ccc4nc2)c3c(-c2ccco2)c1C#N
80,F360-0697,COc(ccc1c2N3CCCCCC3)cc1ncc2C#N
81,F360-0332,CC(CC1)CCN1c1c(cc(cc2)F)c2ncc1C#N
82,L483-0704,CCOc(cc12)ccc2ncc(C#N)c1N(CC1)CCC1C(Nc(cc1)ccc1F)=O
83,C350-0430,[O-][N+](c1cccc(-n(c2c(cc(cc3F)F)c3ncc22)nc2-c(cc2)ccc2F)c1)=O
84,3497-0078,Clc1cc2c(N3CCCCC3)nc(-c3ccccc3)nc2cc1
85,C350-0858,Cc(cc1)ccc1-n(c(c1ccc2)c3cnc1c2F)nc3-c1cccc(Br)c1
86,L483-0471,N#Cc(cnc(c1c2)ccc2F)c1N(CC1)CCC1C(Nc1cc(F)cc(F)c1)=O
87,C350-0109,Fc(cc12)cc(F)c1ncc1c2n(-c(cc2)ccc2Cl)nc1-c1ccccc1
88,C350-0108,Fc(cc12)cc(F)c1ncc1c2n(-c(cc2)ccc2Br)nc1-c1ccccc1
89,C350-0100,Cc(cc1)ccc1-n(c1c(cc(cc2F)F)c2ncc11)nc1-c1ccccc1
90,E899-0074,CC(CC(C)C1)CN1c1c(c(-c(cc2)ccc2F)no2)c2ncn1
