[2023-10-02 23:37:40,768::train::INFO] Namespace(config='./configs/train.yml', device='cuda', logdir='./logs')
[2023-10-02 23:37:40,768::train::INFO] {'model': {'vn': 'vn', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'encoder': {'name': 'cftfm', 'hidden_channels': 256, 'hidden_channels_vec': 64, 'edge_channels': 64, 'key_channels': 128, 'num_heads': 4, 'num_interactions': 4, 'cutoff': 10.0, 'knn': 48}, 'field': {'name': 'classifier', 'num_filters': 128, 'num_filters_vec': 32, 'edge_channels': 64, 'num_heads': 4, 'cutoff': 10.0, 'knn': 32}, 'position': {'num_filters': 128, 'n_component': 3}}, 'train': {'save': True, 'seed': 2021, 'use_apex': False, 'batch_size': 6, 'num_workers': 8, 'pin_memory': True, 'resume_train': False, 'ckpt_name': 'None', 'start_epoch': 'None', 'max_iters': 500000, 'val_freq': 5000, 'pos_noise_std': 0.1, 'max_grad_norm': 100.0, 'optimizer': {'type': 'adam', 'lr': 0.0002, 'weight_decay': 0, 'beta1': 0.99, 'beta2': 0.999}, 'scheduler': {'type': 'plateau', 'factor': 0.6, 'patience': 8, 'min_lr': 1e-05}, 'transform': {'mask': {'type': 'mixed', 'min_ratio': 0.0, 'max_ratio': 1.1, 'min_num_masked': 1, 'min_num_unmasked': 0, 'p_random': 0.15, 'p_bfs': 0.6, 'p_invbfs': 0.25}, 'contrastive': {'num_real': 20, 'num_fake': 20, 'pos_real_std': 0.05, 'pos_fake_std': 2.0}, 'edgesampler': {'k': 8}}}, 'dataset': {'index_path': './data/crossdocked_pocket10/index.pkl', 'processed_path': './data/crossdock_data/crossdock_data_gds.lmdb', 'name2id_path': './data/crossdock_data/crossdock_gdsname2id.pt', 'split': './data/split_by_name.pt'}}
[2023-10-03 02:47:02,524::train::INFO] Training Epoch 2 | Average_Loss 3.29394 | Loss 1.686070 | Loss(Fron) 0.037810 | Loss(Pos) 0.573935 | Loss(Cls) 0.836551 | Loss(Edge) 0.033022 | Loss(Real) 0.020553 | Loss(Fake) 0.184200 | Loss(Surf) 0.000000  
[2023-10-03 02:47:04,624::train::INFO] Evaluate Epoch 2 | Average_Loss 3.23752 | Single Batch Loss 2.327610 | Loss(Fron) 0.159735 | Loss(Pos) 1.189671 | Loss(Cls) 0.851052 | Loss(Edge) 0.039806 | Loss(Real) 0.023197 | Loss(Fake) 0.064148 | Loss(Surf) 0.000000  
[2023-10-03 03:45:12,758::train::INFO] Training Epoch 3 | Average_Loss 3.17222 | Loss 2.407860 | Loss(Fron) 0.242396 | Loss(Pos) 1.089619 | Loss(Cls) 0.812366 | Loss(Edge) 0.082598 | Loss(Real) 0.047958 | Loss(Fake) 0.132924 | Loss(Surf) 0.000000  
[2023-10-03 03:45:14,955::train::INFO] Evaluate Epoch 3 | Average_Loss 3.22085 | Single Batch Loss 1.362190 | Loss(Fron) 0.075438 | Loss(Pos) 0.616399 | Loss(Cls) 0.563536 | Loss(Edge) 0.005620 | Loss(Real) 0.008116 | Loss(Fake) 0.093082 | Loss(Surf) 0.000000  
[2023-10-03 04:43:22,337::train::INFO] Training Epoch 4 | Average_Loss 3.11793 | Loss 5.422544 | Loss(Fron) 0.013040 | Loss(Pos) 3.976520 | Loss(Cls) 1.157883 | Loss(Edge) 0.048479 | Loss(Real) 0.042447 | Loss(Fake) 0.137441 | Loss(Surf) 0.046736  
[2023-10-03 04:43:24,515::train::INFO] Evaluate Epoch 4 | Average_Loss 3.49761 | Single Batch Loss 1.236971 | Loss(Fron) 0.007358 | Loss(Pos) 0.217391 | Loss(Cls) 0.716295 | Loss(Edge) 0.050048 | Loss(Real) 0.042072 | Loss(Fake) 0.203808 | Loss(Surf) 0.000000  
[2023-10-03 05:41:31,764::train::INFO] Training Epoch 5 | Average_Loss 3.06580 | Loss 4.740500 | Loss(Fron) 0.082522 | Loss(Pos) 3.220201 | Loss(Cls) 0.983107 | Loss(Edge) 0.179726 | Loss(Real) 0.157734 | Loss(Fake) 0.080860 | Loss(Surf) 0.036350  
[2023-10-03 05:41:33,936::train::INFO] Evaluate Epoch 5 | Average_Loss 2.64138 | Single Batch Loss 2.409183 | Loss(Fron) 0.006077 | Loss(Pos) 1.284858 | Loss(Cls) 0.701977 | Loss(Edge) 0.018064 | Loss(Real) 0.225889 | Loss(Fake) 0.172319 | Loss(Surf) 0.000000  
[2023-10-03 06:39:40,337::train::INFO] Training Epoch 6 | Average_Loss 3.02700 | Loss 3.538419 | Loss(Fron) 0.055793 | Loss(Pos) 2.455266 | Loss(Cls) 0.775704 | Loss(Edge) 0.071975 | Loss(Real) 0.064975 | Loss(Fake) 0.114707 | Loss(Surf) 0.000000  
[2023-10-03 06:39:42,443::train::INFO] Evaluate Epoch 6 | Average_Loss 2.91065 | Single Batch Loss 2.097506 | Loss(Fron) 0.040460 | Loss(Pos) 1.159399 | Loss(Cls) 0.806821 | Loss(Edge) 0.008606 | Loss(Real) 0.046340 | Loss(Fake) 0.035879 | Loss(Surf) 0.000000  
